UID,abstract
C2-4,"本研究は,大規模言語モデルを用いて,ビジネス文書中の読み手にストレスを与える文章を検出する手法を提案する. BERT(Bidirectional  EncoderRepresentations  from  Transformers)[1]を用いた多クラス分類モデルにより,過剰な丁寧さ,命令的な表現,情報の過不足,責任回避的な表現を検出し,文章改善の指針を提供する.独自のデータセットを作成し,分類タスクに適した学習を行うことで,従来手法では検出が困難だった微妙な文体の違いを捉えることを目指す.実験により,定義したラベルは文章の内容に関わらず,ストレスの要因となる表現を検出可能であることを示す."
Q5-2,本研究では，離散拡散モデルを用いたテキスト生成において生じる訓練時と推論時の不一致に注目し，この問題を解消するため，訓練時の損失計算においてモデルが予測した系列を次ステップの入力として使用する 2 ステップ損失計算アプローチと，その確率的スケジューリングを提案する．提案手法を広く使用されている 4 つのテキスト生成ベンチマークデータセットにおいて学習・評価した結果，2 ステップ損失計算による離散拡散モデルの性能向上を確認した．
Q10-6,本研究は，⽇本の刑法を対象とした法律相談システムの構築を⽬指して「罪名」「量刑」「量刑根拠」の 3 つの予測に取り組んだ.弁護⼠へのヒアリングを基に構築した罪名データベースを参照するように設計した罪名予測モジュールは，正解割合の平均が70%となり⽬標の 80%には達しなかった.弁護⼠へのヒアリングを基に構築した量刑根拠データベースを参照するように設計した量刑根拠予測モジュールは，正解割合の平均が 89%となり，⽬標の 80%に達した.過去の量刑事例集を参照させるように設計した量刑予測モジュールは，正解割合の平均が 43%となり，⽬標の 80%を⼤きく下回った.
P6-8,"In real-world scenarios, text classiﬁcation often facesthe challenge of limited labeled data, especially for rare oremerging classes. Traditional methods struggle in thesesituations, requiring new approaches that can generalizeto unseen or sparsely annotated classes. This challenge isparticularly common in the biomedical ﬁeld, where datais expensive to annotate, and new diseases and treatmentsfrequently emerge. This paper proposes an entailment-based framework for zero and few-shot text classiﬁcationby reframing the task as a natural language inference (NLI)problem. Leveraging pre-trained language models, the ap-proach infers labels for unseen classes without additionalﬁne-tuning. For few-shot scenarios, minimal task-speciﬁcﬁne-tuning signiﬁcantly enhances performance. Our ﬁnd-ings highlight the potential of entailment-based learning asa versatile and eﬀective paradigm for text classiﬁcation inlow-resource environments."
E3-5,地理的位置属性を持つ言及に対するエンティティ・リンキング課題において、地名が持つ住所階層性を活用したエンティティ曖昧性解消手法を提案する。提案手法では、入力文章中に地理的位置属性を持つ言及が複数現れる場合に、それらをトリガにして入力文章を編集することで地名間の住所階層関係をモデルに伝える。評価実験を通して、提案手法は従来手法を上回るエンティティ曖昧性解消の精度を達成し、同名の地名間の混同やカテゴリの異なるエンティティとの混同を効果的に削減できることを確認した。
A6-5,Transformer ベース言語モデルの内部表現には統語構造が表現されていることが示唆されているが，入力が各層を伝播する中で統語構造が構築される過程は依然として不明確である．本研究では，Transformer ベース言語モデルにおける，統語構造の構築過程を定量的に分析するための新しい手法として Derivational Probing（派生的プロービング）を提案する．これにより，文の局所的な構造と大域的な構造が，単語表現が各層を伝播する過程でどのように構築されるかを検証することが可能となる．BERT と GPT-2 を用いた実験では，BERT は局所的な構造を構築してから大域的な構造を構築するボトムアップな方法をとるのに対し，GPT-2 は局所的な構造と大域的な構造をよりパラレルに構築する傾向があることが示された．また，主述の一致タスクのケーススタディでは，BERT モデルが最終的に正しい統語構造を導出する場合でも，大域的な構造の構築が行われる層の位置が，タスクのパフォーマンスに影響を与えることが示され，大域的な構造を構築する最適な層の範囲が存在することを示唆した．
P10-3,RLAIF を対話システム学習に適応する上では、シングルターンの対話だけでなく、対話文脈全体の一貫性、個性、共感性などの対話印象を向上させる必要がある。本研究では、対話印象評価のための報酬モデルの比較、及びその報酬をフィードバックとしたシステムの対話印象の改善を行った。自動評価と人手評価の結果、個々の対話印象の向上だけでなく、応答の自然さも向上することが示された。
Q7-1,大規模言語モデル（LLM）のハルシネーション（事実と矛盾する情報生成の課題）に対し，構造化・非構造化知識源を用いた Retrieval-AugmentedGeneration（RAG）の比較分析を行う．マルチホップ QA データセットを用いて，構造化知識ベース，文書ベースの RAG および LLM のみによる回答を段階的に組み合わせる手法により，各知識源の特性を活かした回答生成の有効性を実証する．
P10-2,"Decision-making is an essential part of our daily lives,especially in dialogue. It involves group decision-making,where we strive to reach a consensus with others, or in-dividual decision-making primarily based on our indepen-dent thinking. Collecting decision-making data helps usanalyze our daily behaviors and engage in self-reﬂection.In this study, aiming to detect individual decision-makingdialogues in conversation automatically, we annotate thedecision-seeking (e.g.,“Would you like to form a bandwith me?”) and decision-making utterances in a dialoguedataset. We then investigate the LLMs’ ability to detectindividual decision-making and conduct an error analysisto analyze the mistakes in the detection processes."
E3-4,大規模言語モデルの発展に伴い，記号接地問題が脚光を浴びるようになってきている．しかしながら，記号接地は大規模言語モデルにとっては問題ではなく，言語獲得においてもそれほど重要な課題ではない．問題は，記号創発による平衡状態としての言語体系にある．本稿では，理論言語学，とりわけ生成文法と呼ばれる理論から，記号接地問題について批判的に考察する．
A6-4,大規模言語モデル(LLM)は long-tail の知識に対して精度が低く，過去には事前学習データに含まれる知識に関する頻度が高いと精度も高くなる関係を示した例がある．一方，実用上はより複雑なタスクを解くことがあり，単純な頻度よりもいかに文脈を捉えるかが重要となる可能性もある．そのための基礎的な分析として，本研究では次の二つを実施した．1)事前学習データに含まれる単語やトークンの頻度を算出し，精度の関係を分析した．2)各層の埋め込み表現を用いて定性的な分析を行った．その結果，今回対象としたタスクでは頻度と精度の関係は確認できなかったものの，LLM は文章全体で文脈を捉えずに特定のトークンに着目している可能性を示した．
Q7-22,本研究では，PDF 文書から表データを正確に抽出することを目的とし，主に農業分野で利用される技術文書を対象に主要企業の表抽出ツールを評価する．既存研究が指摘する固定レイアウト構造の課題を考慮し，複雑な表レイアウトや多言語への対応を踏まえて，表構造認識ベンチマーク TOITA を用いて性能を比較することで，その有用性を明らかにする．
P6-9,企業情報の分析のために，各企業の各事業に適切な業種を割り当てることは重要である．このとき，既存の業種体系に合致しない事業内容があるため，業種体系を適宜拡張して使う必要がある．本研究では，LLM を用いて既存の業種体系にない業種名称を生成し，業種体系を拡張する．ただし，生成された業種には不要な名称が含まれる．不要な名称を削減する手法として，LLM への生成制約，既存業種にある名称のフィルタリング，生成業種間で類似した名称のクラスタリングを提案し，効果を検証する．
Q10-7,近年，オープンサイエンスが世界規模で推進され，データセットやコードなどの研究成果の公開促進に加えて，そのアクセス性が重要視されている．アクセス性を高めるための要素の 1 つとして，研究成果間で関連付けることが挙げられる．そこで本論文では，研究成果の一種であるデータセットを対象に，それらの間の関連性を推定することの実現性を検証する．データセットに付与されたメタデータを用いて BERT ベースのモデルによって関連性を推定する手法を実装し，実験により推定性能を評価した．
Q5-3,"Existing studies investigate stereotypical biases in largelanguage models (LLMs) through the diﬀerence betweenreal-world and counterfactual data. In this case, real-worlddata typically exhibit pro-stereotypical bias, while counter-factual data rewritten by humans exhibit anti-stereotypicalbias. Due to the subjective nature of stereotypical biasjudgment, it is crucial to explain the judgment. In thisstudy, we aim to use LLMs to judge whether a sentenceis pro- or anti-stereotypical and explain the reason for thejudgment. We construct a stereotypical bias explanationdataset for this goal. The experimental results show thatLLMs outperform humans in distinguishing pro- and anti-stereotypical biases. Moreover, our constructed dataset ishighly eﬀective in training smaller language models to gen-erate high-quality explanations. Finally, we ﬁnd that LLMsdiﬀer from human annotations on counterfactual data thanon real-world data."
A4-6,外国人被告人が公正な裁判を受ける権利を保障するためには法廷通訳人の存在が必要不可欠であるが、その人数は年々減少傾向にあり、また、国家資格が存在しないため通訳の質の保証の問題も抱えている。本研究では、大規模言語モデルを用いた法廷通訳並びにチェック・インタープリターの実現可能性を検証する。法廷通訳能力の検証のためのデータセットの作成および評価基準の策定を行い、3 種類の機械翻訳システムの検証を行った。実験の結果、特に GPT-4o による訳文は法的等価性を高い水準で維持できる一方で、法律用語や疑問文の訳出エラー、日本の司法制度に関する知識の不足といった課題もあることが分かった。
E1-6,"本稿では，コプト語説教文書「On Christian Be-haviour」(OCB)の著者帰属を，スタイロメトリ（文体統計学）を用いて再検討する．OCB は写本題辞で修道院長シェヌーテ（Shenoute,紀元後 4〜5 世紀）の名を冠するが，実際にはシェヌーテの特徴である修道士向けの規律に関する厳しい忠告や厳しい断罪が乏しく，早くから「偽シェヌーテ文書」と疑われてきた．本研究では，OCB の K. H. Kuhn の校訂版テキストと，白修道院文学（シェヌーテ,ベーサ,ヨハンネス）および新約聖書，コプト語聖人伝，新学書，説教などを対象に，R 言語の stylo パッケージを用いて文体比較を行った．結果として，OCB がシェヌーテの著作群よりも新約聖書の書簡のクラスタに近いという従来の示唆を定量的に裏付け，OCB を「偽シェヌーテ文書」の範疇に位置づける客観的根拠を提供した．"
C2-5,LLM による自動プロンプト最適化は活発に研究されている分野であり，主に人の主観によらず一意に正解が定まるタスクに対する有効性が報告されてきた．しかし，主観的評価によって定められたラベルの予測タスクに対するこれらの手法の効果は検証されていない．本研究では，テキストへの個人的選好の予測タスクに既存の複数の自動プロンプト最適化手法を適用し，精度向上の程度を検証する．検証の結果，(1)個人的選好の予測タスクについては既存手法による精度の向上が見られないこと，(2)プロンプト書き換えの反復が精度向上に与える効果が小さいこと，(3) LLM が生成した誤りの情報が最適化の過程でうまく参照されていないことを確認した．
P9-22,関連研究節生成のためには，引用する論文を決定した上で，どのような段落構成や順序で論文を引用するかという論文配置を考える必要がある．しかし，関連研究節自動生成に関する既存研究では，引用すべき論文を推薦する引用推薦や，引用論文と引用順が与えれらた場合に関連研究節を自動生成する研究は多く行われているものの，引用論文の最適配置には着目されてこなかった．本研究では，関連研究節の自動生成に向けた引用論文の最適配置に取り組む．具体的には，引用論文を段落ごとにまとめるクラスタリング，段落順の決定，段落内の引用順決定という 3 タスクに分解し，各タスクを解くことで引用論文の最適配置を実現する．
P8-6,本論文では，LLM を活用し，疎検索を用いた検索拡張生成（RAG）を最適化する，反復的キーワード生成手法 IterKey を提案する．IterKey は，キーワード生成，回答生成，回答検証の 3 つの構成から成り，すべて LLM によって実行し，RAG の処理全体の最適化を目指す．この手法により，質問応答タスクにおいて，検索なしの手法や BM25 を用いたRAG と比較して精度が 5 ％から 20 ％向上し，密検索モデルを用いた RAG や先行研究と同等の性能を達成した．IterKey は，価値あるキーワードを生成しながら，解釈可能性を維持し，LLM による反復的なキーワード洗練と自己検証を通じて RAG 全体を最適化する可能性を示す新たな疎検索手法である．
Q3-5,大規模言語モデル（LLM）の発展として，画像など他のモダリティも扱う大規模マルチモーダルモデルの研究が進んでいる．本研究で注目する Vision &Language モデル（VLM）は，画像とテキストを同時に入力可能なモデルである．しかしながら，データが潤沢な英語モデルに比べ，データの不足する日本語モデルの開発は十分とはいえない．本研究では，日本語能力に特化した VLM の開発のため，大規模な日本語テキスト・画像ペアの合成データセットを新たに構築した．なお，データセットの構築時に，ライセンスによってデータ利用が制限される LLMは用いていない．構築したデータセットを用いて日本語 VLM を訓練し，その性能を評価した．
C4-3,視覚言語モデル（VLM）の進歩に伴い，画像品質評価において VLMを用いることが注目されている．また，製造業では製品の外観検査において異常画像の数が少ないため精度の高い異常検知モデルの開発が難しく，異常画像を生成できるドメイン特化画像生成 AI の需要が高い．そこで本研究では VLM を用いてドメイン特化生成画像の定量評価を行い，その妥当性を検証した．VLM により生成画像を定量評価し，既存評価値や官能評価値との相関を分析した結果，特に形状，色，テクスチャの観点で VLM によるドメイン特化生成画像の定量評価の可能性を示した．また，参照画像や生成画像同士の相対評価を行うことで，精度の高い評価が可能となることを示唆した．
P2-17,Attention は，文章生成時のメモリ消費量が入力トークン数に比例して増加するため，長文の処理や高速な文章生成を困難にする．この課題を解決するため，推論時のメモリサイズが入力長によらず一定である状態空間モデル(SSM)に基づいた言語モデルが提案されている．本研究は，SSM に基づく言語モデルがどのようにして入力文中の情報を記憶しているのかを分析する．分析では，記憶と想起を必要とする質問応答タスクにおいて，正答に必要不可欠なSSM をもつ層を特定して，その SSM が本文中のどの文脈を参照しているかを観察する．記憶と想起のメカニズムの実現のために SSM のパラメータが満たすべき条件を示すことは今後の課題とする．
P5-22,本研究ではイベント知識グラフからの実況テキスト生成に取り組む．タスク設定はシナリオの進行に合わせて実況を生成できるようマルチターン形式で定義する．グラフ情報はテキスト形式へ変形し，大規模言語モデルを用いて few-shot プロンプトによる生成を行う．また，我々は既存のイベント知識グラフを備えた動画データセットに対して，日本語の実況音声とテキストを新たに付与することで 4 種のデータ形式を備える動画実況データセットを構成し実験に利用した．結果として，詳細なグラフ情報の利用により BLEU スコアの向上を確認したものの，言語モデルの最大系列長制限のため正解実況で言及されることのある情報の一部は入力中に含められなかった．データセットは一般公開されている．1）
E10-2,計算心理言語学では、人間の文理解において、どのような表象がどのように構築されているのかが探究されてきた。この問いに取り組むのに、Combinatory Categorial Grammar (CCG)が有望な文法理論であることが、日本語や英語の読み時間や脳血流のデータを用いた先行研究で示唆されている。そこで本研究では、日本語を対象とした新たな脳波データセットを構築した上で、CCG による指標が脳波の予測に寄与するのか検証する。統語操作の適用数および作業記憶の負荷に関する指標が、それぞれ事象関連電位を予測することを示す。
B9-6,看護留学生への支援に活用できる語彙リストを作成するためのコーパス構築のパイロットスタディについて発表する.まず，全 70 巻の『系統看護学講座』シリーズのうち３巻を文字化し，語彙の多様性や，品詞・語種の観点から留学生が直面しうる困難について検討した.その結果，名詞が多いこと，漢語や外来語が多いことなどから，母語や背景によっては難しく感じることが示唆された.その後，本パイロットスタディを踏まえ，コーパス構築を前提とした整形作業において考慮すべきことについて検討した.教科書という特性上，コラムや練習問題などが入り組んでおり，学習の必要性や語彙の特徴の過大評価の可能性などを踏まえ，今後の整形の方針を述べた.
Q1-7,小説理解において，登場人物の認識とセリフの話者推定は，最初の重要なステップである．本論文では，登場人物認識とセリフの話者推定を統合した処理を，登場人物アノテーションと名づけ，これを実現するシステムを提示する．さらに，そのシステムを用いて完全自動の登場人物アノテーションを実行し，セリフの話者推定において，主要登場人物リストを与える先行研究と同程度の精度を達成した．
C6-1,"This paper investigates whether continually pre-trainingLarge Language Models on domain-speciﬁc reference textscan improve performance in Japanese Automated EssayScoring tasks. We use a dataset covering multiple es-say prompts related to four thematic areas― Globaliza-tion, Natural Science, Critical Thinking, and East AsianEconomics. Each essay is scored on a ﬁve-point scalefor Comprehensiveness. Models undergo two conﬁgura-tions:(1) direct ﬁne-tuning on the scored essays, and (2)an additional continual pre-training phase using domain-speciﬁc texts prior to ﬁne-tuning. Our ﬁndings indicatethat most models beneﬁt from this extra training, as ev-idenced by improvements in evaluation metrics such asthe F1 Score, Quadratic Weighted Kappa, Accuracy, andRoot Mean Squared Error. These results underscore theimportance of domain adaptation for more accurate essayscoring."
E5-2,"This study leverages advanced natural languageprocessing techniques and large language models(LLMs)—including ChatGPT, Claude, and Gemini—to extract sentiment from Japanese 10-K reports and predict stock returns. Using a dataset of 11,135 firm-years from Tokyo Stock Exchange-listed companies(2014–2023), we compare LLMs with dictionary-basedmethods and a DeBERTaV2 model. While traditionalapproaches show no significant sentiment-returnrelationship, LLM-derived sentiment reveals asignificant negative correlation with future stockperformance, challenging the efficient markethypothesis. These findings underscore thetransformative potential of LLMs in financial analysis,offering predictive insights undetected by traditionalmethods."
Q2-12,近年，大規模言語モデル（LLM）を用いた回答分布予測が注目されているが，割合に関する数値的予測に合理性があるかは明らかではない．本研究では，実際のアンケートデータの分布割合を入れ替えた「常識的には不自然な擬似分布」を用いて，LLMがその説明を受けても合理的な分布推定を行えるかを検証した．その結果，説明に単に追従する能力と，常識に基づいて割合を予測する能力が異なることが明らかとなった．また，分布の性質を十分に理解していない予測における不合理性も確認された．この結果は，LLM の分布予測能力を評価する際に，常識的な推論能力だけでなく，与えられた指示への追従性能も考慮すべきであることを示唆している．
Q8-9,本稿では翻訳能力を向上させるデータを用いて継続事前学習を行ったモデルを対象に，モデルマージを用いて破滅的忘却を抑制する方法について検討する．継続事前学習前後のモデルをマージすることにより，一般的タスク能力の忘却を抑えつつ，翻訳能力をベースモデルよりも向上させられることを示す．さらに，モデルマージの手法間の比較や，各マージ手法のパラメータ設定による結果の変化についても調査を行い，今後の研究の方向性を示す．
P6-14,固有表現抽出における過抽出やラベルの認識誤りは，典型的な性能低下の要因であり，大規模言語モデルにおいても頻出する課題である．本稿では，固有表現抽出を学習する過程で，抽出エラーを自己修正(Self-Correction)するための指示学習を提案する．本研究における自己修正の学習は，固有表現抽出の教師データのみ参照し，抽出エラーの検証や修正に関する追加アノテーションを必要としない．化学分野の特許を対象とした固有表現抽出において，自己修正に基づく指示学習を導入することで，固有表現の抽出エラーを大幅に抑制できることを示した．
P8-11,本研究では，E コマースにおけるクエリ意図分類の精度向上を目的とする．提案手法では，クリックログを利用して大規模なデータセットを構築し，それを人手ラベルデータで補完する方法を採用した．さらに，これらのデータを統合的に活用することで，モデルを段階的に学習させる新しいアプローチを提案する．実験の結果，クリックログによる大規模データセットを信頼性の高い小規模な人手データで補完することで，従来手法を上回る分類性能を示した．
P1-21,大規模言語モデル(LLM)の技術進歩は著しく，様々な分野でその活用が進んでいる．しかし、特許翻訳の分野では依然として Transformer ベースの翻訳が主流であり，LLM を活用した翻訳能力については十分に検討されていない．そこで本研究では、近藤ら[6]の手法を参考に，対訳データを用いた継続事前訓練と SFT(Supervised Fine-Tuning)を行ったLLM を用いて特許請求項の翻訳を行い，Transformerベースの翻訳と比較した．その結果，BLEU およびCOMET のスコアがいずれも上回り，訳抜けや繰り返しといった課題が改善されたことを確認した．一方で、従来モデルでは発生しなかったハルシネーションが一部の例で確認され，その影響で翻訳精度が低下したケースも観測された．本研究は，LLM が特許翻訳分野において有望な技術である一方で，課題も存在することを示している．
Q6-6,我が国の農業においては、農林水産省が国の政策の策定と実施を担う一方、実務的な管理・指導は都道府県と農業協同組合（農協）が中心となって実施している。各組織は、栽培技術、病害虫防除方法、農業者の経営形態に関する情報など、地域特性に応じた情報を集約し、ウェブサイト等を通じて公開している。本研究では、各組織と交渉して公開・非公開を問わずデータの収集を進めている。収集したデータは、各提供元のオープン・クローズ戦略に準拠しつつ、組織内で有効活用できるような AI モデルを構築するための知識源として使用している。本稿では、これらの収集されたデータのうち、公開データの収集状況について報告する。
A7-3,ニューラルモデルの構成的汎化能力は，人間のような言語能力の実現に向けた重要な課題の一つである．既存研究は，モデルの出力に着目して構成的汎化能力を評価しており，モデルの構成的汎化における内部機序は明らかでない．そこで本研究では，構成的汎化に寄与するサブネットワークの探索とモデルの統語的特徴の活用に関する因果分析を行い，Transformer の内部機序を分析する．実験結果からTransformer は構成的汎化において統語的特徴に一定程度依存することが示された．一方で，モデル全体よりも優れた汎化性能を持つサブネットワークは，統語的特徴を用いた構成的な解法に加え，非構成的な解法にも依存することも示された．
E2-3,本研究は，人文学の系譜に位置付く社会学理論の実証の文脈において，いかに自然言語処理が応用可能かを示すべく，言語処理の研究者集団を対象にブルデュー流の「界」の分析を行い，その分化の構造を明らかにする．ACL  Anthology と researchmap を用いて構築した有力な言語処理研究者 578 名のデータセットを用いて，多重対応分析により「界」の空間を構築したところ，資本総量の差は見られたものの，解釈可能な資本構成の交差配列構造は認められなかった．BERTopic により析出した研究分野との関連もそれほど明確とは言えず，理工系の分野においてはブルデュー理論が有効とは言えないことが示唆された．
Q6-11,本研究では，日本語自然言語処理に関連する 484件の GitHub リポジトリを対象とし，合計 1537 件の研究分野マルチラベルを付与したデータセットを構築した．本データセットは，README ファイル，PDF ドキュメント，スクリーンショット画像など，複数形式のマルチモーダルデータを入力とすることでラベルを予測できるように設計されている．実験の結果，本データセットが日本語言語資源の効率的な検索に寄与することを示す．
Q1-18,人は他者とコミュニケーションを行う際，使用語彙や話す速さ，表情やボディランゲージなどを相手に応じて使い分けている．しかし，現在の対話システムがユーザに応じて話し方や対話戦略を変更することはほとんどない．対話システムがより効率的にタスクを達成したり，ユーザの満足度をより高めるためには，ユーザに応じて対話戦略などを変更できることが望ましい．そこで我々は話し方の変化に大きく影響を与える要素として話者の年齢に着目し，幅広い年齢層の話者によるマルチモーダル対話コーパス Tabidachi を構築した．本コーパスは国立情報学研究所情報学研究データリポジトリ（IDR）1）にて公開している．
P9-1,SNS やオンラインニュースのコメント欄では，誹謗中傷など知りたくない情報に触れることが多く，精神的な負担を感じる人が増えている．NG ワード設定によるフィルタリングの手法もあるが，攻撃的なコメントを完全に防ぐことは難しい．また，既存のコメント表示アルゴリズムは古いコメントを優位に扱う仕様であるため，新しく投稿された有益なコメントが埋もれてしまい，得たい情報を得ることができないという問題もある．これらの課題を解決するために，誹謗中傷表現を含まない建設的なコメントを抽出し，建設的度合いを閲覧者が調節できるシステムを提案した．本研究では，コメントのアスペクト情報を基に建設的度合いを推定する推定器を作成し，GPT4 と比較した実験で提案手法の有効性を確認した．
Q8-14,生成 AI 技術の著しい進歩により、これを活用した製品やサービスが数多く登場している。本研究では、生成 AI の一種である LLM を用いて日本語学習者を支援するため、架空の日本での生活をシミュレーションするゲームを開発している。このゲームでは、動的な対話を可能にする LLM を登場人物として活用し、学習者に現実に近い会話練習を提供する。さらに、LLM の特性を活かして、学習者ごとにパーソナライズされた会話体験を実現し、日本語学習の効率と効果を高めることを目指している。
Q4-4,本研究では，日本語の医療分野に特化した小規模言語モデルの開発を行った．日本語に焦点を絞ったテキストクリーニングと形態素解析，教科書相当の品質に分類されたテキストデータ，疾病・薬剤に関する話題についての合成テキストデータを使用し，軽量化に重きをおいた 1B の言語モデルの事前学習を実施した．このモデルをベースモデルとして指示ファインチューニングしたモデルを IgakuQA とJMED-LLM を用いて評価を行った．ファインチューニングモデルにおいて，JMED-LLM の 8 つの評価指標のうち，6 つのタスクで既存の大規模言語モデルより高いスコアを示した．この結果から，ネットワークや計算資源が限られた環境において，特定の分野に特化した小規模言語モデルの運用が選択肢の１つになり得る可能性が示唆された．
A5-1,ニューラル言語モデルを一度学習し，後からその層を繋ぎ直すことで，モデルの軽量化や複数のモデルの統合が可能になるという不思議な現象が知られている．本稿では，最も単純な層の繋ぎ変えである隣接層同士の交換の成否が，「層の冗長性」と「層同士の独立性」というふたつの直感的な指標によって特徴づけられることを示す．理論的には，これらの量が十分小さいことが，層同士を交換できることの必要条件になっていることを示した．経験的には，提案指標が学習済みの GPT-2 の層同士の交換しやすさが提案尺度でよく予測できることを確認した．
C3-2,"近年，大規模言語モデルの発展に伴い，マルチモーダル LLM(Large Language Model)の活用が進んでいる．特に画像分類においては,画像内の状況や意味を理解することで，従来の物体検出モデルでは検出困難だった画像全体を考慮した判別や新規の物体を特定する可能性が注目されている．しかしながら，マルチモーダル AI の性能は，画像とテキストのペアデータセットの収集難易度や，学習データの影響により画像分類性能に課題がある．そこで，本研究ではこの課題を克服するために物体検出モデルとマルチモーダル LLM を組み合わせたハイブリッド画像分類手法 OConfVQAC(Objectdetection Confidence-guided VQA Classifier)の提案を行う．具体的には，物体検出モデルによって算出された信頼度を VQA モデルにプロンプトとして与え物体検出モデルの検出漏れを補完し，VQAモデルを用いた画像分類の性能向上を目指す．また，この提案手法の有効性を検証するために，テーマパークに関する SNS の投稿画像にぬいぐるみが映っているか否かの 2 値分類タスクに適用した．本研究では，VQA モデルの画像分類性能の向上の可能性を検証した．"
Q4-14,本研究では、LLM が与えられた問題を適切に解けるかを推定するタスクにおいて、推定モデルの学習に含まれない新規の LLM や問題に対しても高精度に推定する手法を提案する。提案手法では、従来の行列分解に基づくアプローチに加えて、問題文の埋め込みやモデルの来歴などの補助情報から得られる類似度を考慮した類似度制約項を損失関数に導入する。その結果、提案手法では学習時に利用した既知の LLM による新規問題の平均的な解決性能の推定において 20.2%、新規 LLM の既知の問題に対する平均的な性能の推定において 15.6%の誤差軽減を達成した。
B8-1,本研究では、認知症高齢者の「帰宅願望」や「不安」といった注意すべき発話を特定するシステムの構築を目的とした。介護施設で収集した対話データを基に、実データの収集が困難な環境下でも活用可能なデータ拡張手法を活用し、日本語 BERT を基盤とした発話意図推定モデルを構築した。特に、ChatGPT(GPT-4o)を用いた疑似データ生成により、少数データクラスのデータ不足を補完し、分類精度の向上を実現した。評価の結果、疑似データ生成がデータ不足を補う有効な手法である一方、施設特有の文脈や固有表現への完全な対応には最低限の実データが不可欠であることが判明した。本研究は、疑似データ生成を活用したコーパス構築の有効性を示すとともに、施設ごとに適応可能なモデル設計の方向性を示す一助となるものである。
Q3-21,本研究では，テキストの答案データと同時に画像の答案データを入力として利用した場合の自動採点システムの効果について議論する．テキスト特徴量と画像特徴量を直接分類層に入力するモデルとLLaVA モデルの二つのモデルを作成し，BERT のみを利用したモデルとの比較実験を行った．その結果，文法能力について評価を行っている文書力については画像を取り込むことで一部の課題において評価精度が向上した．また画像データによるモデルの性能向上の原因として答案の長さの影響が示唆される実験結果を得た．
Q2-2,LLM の安全性の評価のために，先行研究における人手評価の結果を分析し，評価の課題を洗い出すことにより評価基準を整備した．この評価基準を用い12 の LLM による 183 の質問に対する回答の安全性を人手により評価した．そしてこの人手評価結果の分析を通して評価における課題を整理した．評価結果は現行の LLM の安全性における能力の評価に加え，LLM の安全性を評価する基準となるデータとして，また自動評価手法の構築のために貢献し得る．
P1-8,"Adapting Unsupervised Neural Machine Translation(UNMT) for domain-speciﬁc tasks often encounters Do-main Mismatch (DM), where one language lacks suﬃcientin-domain monolingual data. We observe that while in-domain monolingual corpora enhance translation qualityfor the language they belong to, this improvement doesnot extend to the paired language. To address DM, wepropose Domain-Aware Adaptation (DAA). DAA selectsin-domain texts according to assigns higher weights to in-domain texts from open-domain corpora. Experimentalresults on Japanese-English translation tasks across the IT,Koran, Medical, and TED2020 domains demonstrate thatDAA successfully mitigates the quality disparities in trans-lation caused by DM, enhancing overall domain-speciﬁctranslation performance."
C5-4,"時系列行動セグメンテーションは、映像内の一連の行動を時間軸に沿って認識し、一連の行動を構成する個別行動区間を検出するタスクであり、行動理解・評価や技術習得支援等への応用が期待されている。既存手法では、全体的な時系列の流れを捉えておらず、ラベルの予測精度が課題となっている。本手法では、多種多様なドメインに対する膨大な一般的知識を持つ大規模言語モデルを汎用的な状態遷移モデルとして活用することで、常識的・論理的な行動手順を考慮し、行動認識の精度を向上させる。提案手法の性能をいくつかのビデオデータセット（50Salads, Breakfast）で評価したところ、既存手法を上回る性能を達成した。"
P3-18,本研究では、講義を受けた学生が質問に回答する形式で講義内容について記述したテキストである「振り返りテキスト」を用いた学生の成績推定に取り組む。具体的には、2 人の学生の初回講義の振り返りテキストから、最終的にどちらがより高い成績を収めるかを予測する成績上下予測を、Meta-Llama-3.1-8B、Llama3.1-Swallow-8B-v0.2、Llama-3-ELYZA-JP-8B、Ruri-large の 4 つの言語モデルを利用して行う。九州大学の 3 つの講義における振り返りテキスト及び成績データを使用した実験の結果、複数のモデルの出力を多数決によって集約することで、およそ 60%の精度で成績の上下を判別することができた。
P4-11,ASD の小児の言語や事物の認識を理解することは，彼らに対する支援の適切性の評価に重要である．当事者やその家族を対象とした研究や生物学的研究のほかに，工学的観点からヒトの模倣可能性が注目されている LLM を活用した研究がある．我々はこれらを組み合わせて ASD の小児における言語認知メカニズムの解明を目指す．そのために，LLMに対して ASD の小児のペルソナを与え，LLM にASD 様の振る舞いを再現させることを目指す．本稿では，LLM に ASD の小児と定型発達の小児のストーリーを識別する能力があるかを調査した結果を報告する．ASD の小児が作ったストーリーを回答するという 5 択の QA タスクにより，現状の LLMによる識別精度は 22%であることを明らかにした．
